,Time,Current,Voltage,Ramp
0,568846.1863690175,-4.655820626217699e-08,-0.5078466463515156,0
1,570096.3977676305,-4.509613678419063e-08,-0.5070571905170684,0
2,571346.6091662439,-4.364651390585301e-08,-0.5062676032561585,0
3,572596.8205648571,-4.2209337627164174e-08,-0.5054778845687857,0
4,573847.0319634704,-4.078460794812408e-08,-0.5046880344549501,0
5,575097.2433620836,-3.9372324868732734e-08,-0.5038980529146516,0
6,576347.4547606967,-3.797248838899016e-08,-0.5031079399478903,0
7,577597.66615931,-3.6585098508896334e-08,-0.502317695554666,0
8,578847.8775579232,-3.521015522845127e-08,-0.5015273197349789,0
9,580098.0889565365,-3.3847658547654965e-08,-0.500736812488829,0
10,581348.3003551497,-3.2497608466507424e-08,-0.4999461738162161,0
11,582598.511753763,-3.1160004985008636e-08,-0.4991554037171405,0
12,583848.7231523761,-2.9834848103158594e-08,-0.498364502191602,0
13,585098.9345509893,-2.8522137820957322e-08,-0.4975734692396006,0
14,586349.1459496026,-2.72218741384048e-08,-0.4967823048611364,0
15,587599.3573482158,-2.593405705550104e-08,-0.4959910090562093,0
16,588849.568746829,-2.4658686572246038e-08,-0.4951995818248193,0
17,590099.7801454422,-2.3395762688639788e-08,-0.4944080231669665,0
18,591349.9915440555,-2.21452854046823e-08,-0.4936163330826508,0
19,592600.2029426687,-2.090725472037357e-08,-0.4928245115718723,0
20,593850.414341282,-1.96816706357136e-08,-0.4920325586346309,0
21,595100.6257398952,-1.8468533150702383e-08,-0.4912404742709266,0
22,596350.8371385083,-1.7267842265339925e-08,-0.4904482584807595,0
23,597601.0485371216,-1.6079597979626224e-08,-0.4896559112641296,0
24,598851.2599357348,-1.4903800293561282e-08,-0.4888634326210368,0
25,600101.4713343481,-1.3740449207145094e-08,-0.4880708225514811,0
26,601351.6827329613,-1.2589544720377668e-08,-0.4872780810554625,0
27,602601.8941315745,-1.1451086833258996e-08,-0.4864852081329812,0
28,603852.1055301877,-1.0325075545789085e-08,-0.4856922037840369,0
29,605102.316928801,-9.21151085796793e-09,-0.4848990680086298,0
30,606352.5283274142,-8.110392769795537e-09,-0.4841058008067598,0
31,607602.7397260274,-7.02172128127189e-09,-0.483312402178427,0
32,608852.9511246406,-5.945496392397011e-09,-0.4825188721236313,0
33,610103.1625232537,-4.881718103170889e-09,-0.4817252106423728,0
34,611353.3739218671,-3.830386413593515e-09,-0.4809314177346513,0
35,612603.5853204803,-2.791501323664907e-09,-0.4801374934004671,0
36,613853.7967190936,-1.7650628333850523e-09,-0.47934343763982,0
37,615104.0081177067,-7.510709427539573e-10,-0.47854925045271,0
38,616354.21951632,2.5047434822837807e-10,-0.4777549318391372,0
39,617604.4309149332,1.2395730395619603e-09,-0.4769604817991015,0
40,618854.6423135464,2.2162251312467828e-09,-0.476165900332603,0
41,620104.8537121597,3.180430623282845e-09,-0.4753711874396415,0
42,621355.0651107728,4.132189515670155e-09,-0.4745763431202172,0
43,622605.2765093861,5.0715018084086994e-09,-0.4737813673743301,0
44,623855.4879079993,5.998367501498489e-09,-0.4729862602019801,0
45,625105.6993066126,6.9127865949395326e-09,-0.4721910216031673,0
46,626355.9107052258,7.814759088731803e-09,-0.4713956515778916,0
47,627606.1221038391,8.704284982875321e-09,-0.470600150126153,0
48,628856.3335024521,9.581364277370092e-09,-0.4698045172479516,0
49,630106.5449010654,1.0445996972216096e-08,-0.4690087529432873,0
50,631356.7562996787,1.1298183067413336e-08,-0.4682128572121602,0
51,632606.9676982919,1.2137922562961834e-08,-0.4674168300545702,0
52,633857.1790969052,1.2965215458861568e-08,-0.4666206714705173,0
53,635107.3904955183,1.3780061755112541e-08,-0.4658243814600016,0
54,636357.6018941316,1.4582461451714764e-08,-0.465027960023023,0
55,637607.8132927448,1.5372414548668222e-08,-0.4642314071595816,0
56,638858.0246913581,1.6149921045972912e-08,-0.4634347228696773,0
57,640108.2360899713,1.6914980943628862e-08,-0.4626379071533102,0
58,641358.4474885844,1.7667594241636033e-08,-0.4618409600104802,0
59,642608.6588871977,1.8407760939994477e-08,-0.4610438814411873,0
60,643858.8702858109,1.913548103870414e-08,-0.4602466714454316,0
61,645109.0816844242,1.9850754537765063e-08,-0.459449330023213,0
62,646359.2930830374,2.0611260411176155e-08,-0.4582392942674584,0
63,647609.5044816507,2.1067600077308325e-08,-0.4574267644135321,0
64,648859.7158802638,2.1546535097952645e-08,-0.4566206747037876,0
65,650109.9272788771,2.1927018003213323e-08,-0.4558424862776773,0
66,651360.1386774903,2.233075997182621e-08,-0.4550591263033304,0
67,652610.3500761035,2.2848433374516084e-08,-0.4542523294336433,0
68,653860.5614747168,2.327690936631021e-08,-0.4534623690472075,0
69,655110.7728733299,2.3699077239322688e-08,-0.4526736887953518,0
70,656360.9842719432,2.423638593003213e-08,-0.4518624572109062,0
71,657611.1956705564,2.466994355570279e-08,-0.4510701838072932,0
72,658861.4070691697,2.5089205028953826e-08,-0.4502858819927032,0
73,660111.6184677829,2.561374111384825e-08,-0.4494769052666246,0
74,661361.8298663961,2.6035875502932237e-08,-0.448690527182958,0
75,662612.0412650093,2.644666282917792e-08,-0.4479056505942838,0
76,663862.2526636225,2.696869649045438e-08,-0.4470892126000872,0
77,665112.4640622358,2.7375978325019177e-08,-0.4463001294227604,0
78,666362.675460849,2.7768360436810632e-08,-0.4455164616292612,0
79,667612.8868594622,2.8280228658489576e-08,-0.4447088919468209,0
80,668863.0982580753,2.8669955353298422e-08,-0.44391991200829,0
81,670113.3096566887,2.906098083837608e-08,-0.4431334290961736,0
